rank,title_cn,title_en,aka,rating,rating_count,quote,director,actors,year,country,genre,detail_url
1,肖申克的救赎,The Shawshank Redemption,月黑高飞(港)  /  刺激1995(台),9.7,3308248,希望让人自由。,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,https://movie.douban.com/subject/1292052/
2,霸王别姬,,再见，我的妾  /  Farewell My Concubine,9.6,2440840,风华绝代。,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,Titanic,铁达尼号(港 / 台),9.5,2517180,失去的才是永恒的。,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,1997,美国,剧情 爱情 灾难,https://movie.douban.com/subject/1292722/
4,阿甘正传,Forrest Gump,福雷斯特·冈普,9.5,2445917,一部美国近现代史。,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情,https://movie.douban.com/subject/1292720/
5,千与千寻,千と千尋の神隠し,神隐少女(台)  /  千与千寻的神隐,9.4,2555833,最好的宫崎骏，最好的久石让。,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻,https://movie.douban.com/subject/1291561/
6,星际穿越,Interstellar,星际启示录(港)  /  星际效应(台),9.4,2205416,爱是一种力量，让我们超越时空感知它的存在。,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,剧情 科幻 冒险,https://movie.douban.com/subject/1889243/
7,美丽人生,La vita è bella,一个快乐的传说(港)  /  Life Is Beautiful,9.5,1491702,最美的谎言。,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争,https://movie.douban.com/subject/1292063/
8,这个杀手不太冷,Léon,终极追杀令(台)  /  杀手莱昂,9.4,2566593,怪蜀黍和小萝莉不得不说的故事。,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,剧情 动作 犯罪,https://movie.douban.com/subject/1295644/
9,盗梦空间,Inception,潜行凶间(港)  /  全面启动(台),9.4,2341549,诺兰给了我们一场无法盗取的梦。,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险,https://movie.douban.com/subject/3541415/
10,楚门的世界,The Truman Show,真人Show(港)  /  真人戏,9.4,2037173,如果再也不能见到你，祝你早安，午安，晚安。,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻,https://movie.douban.com/subject/1292064/
